time,step,Galaxy-S5-atonomura,nexus7-2012-hmurakami,nexus7-2013-haida,Xperia-Z5-tyamamoto
517,168,506.0,714.0,230.0631561279297,318.0
520,169,507.0,728.0,240.084228515625,331.0
523,170,509.0,742.0,241.17893981933594,344.0
526,171,510.0,754.0,244.54736328125,338.0
529,172,654.0,762.0,254.9052734375,344.0
532,173,696.0,778.0,256.33685302734375,357.0
535,174,705.0,794.0,254.5684356689453,364.0
538,175,718.0,802.0,259.8736877441406,357.0
541,176,729.0,814.0,268.8841857910156,371.0
544,177,737.0,828.0,272.9263000488281,377.0
547,178,743.0,838.0,277.38946533203125,377.0
550,179,749.0,854.0,282.273681640625,384.0
553,180,752.0,866.0,276.1263122558594,391.0
556,181,758.0,884.0,288.75787353515625,397.0
559,182,763.0,894.0,290.3578796386719,404.0
562,183,767.0,908.0,300.21051025390625,417.0
565,184,769.0,924.0,290.1052551269531,410.0
568,185,773.0,936.0,303.8315734863281,417.0
571,186,775.0,944.0,308.7157897949219,430.0
574,187,778.0,964.0,313.43157958984375,430.0
577,188,780.0,970.0,337.7684326171875,437.0
580,189,781.0,1000.0,320.0841979980469,450.0
583,190,784.0,1008.0,329.43157958984375,457.0
586,191,787.0,1016.0,338.10528564453125,457.0
589,192,789.0,1030.0,338.02105712890625,470.0
592,193,791.0,1052.0,346.9473571777344,463.0
595,194,793.0,1060.0,339.8736877441406,477.0
598,195,795.0,1080.0,342.3999938964844,490.0
601,196,797.0,1092.0,351.4105224609375,497.0
604,197,798.0,1110.0,356.29473876953125,497.0
607,198,800.0,1128.0,361.5157775878906,503.0
610,199,801.0,1136.0,361.5157775878906,517.0
613,200,802.0,1154.0,369.0947570800781,517.0
616,201,805.0,1170.0,382.6526184082031,530.0
619,202,806.0,1186.0,387.87371826171875,530.0
622,203,807.0,1202.0,398.65264892578125,530.0
625,204,944.0,1226.0,401.010498046875,543.0
628,205,1006.0,1236.0,400.9263000488281,543.0
631,206,1021.0,1248.0,398.4842224121094,556.0
635,207,1033.0,1254.0,413.3052673339844,570.0
638,208,1036.0,1276.0,410.7789611816406,570.0
641,209,1043.0,1294.0,412.0420837402344,570.0
644,210,1055.0,1306.0,421.6421203613281,583.0
647,211,1063.0,
1332.0,431.4947509765625,596.0
650,212,1068.0,1340.0,437.810546875,596.0
653,213,1069.0,1350.0,439.74737548828125,609.0
656,214,1074.0,1374.0,457.9368591308594,609.0
659,215,1080.0,1392.0,463.8315734863281,623.0
662,216,1083.0,1406.0,466.4421081542969,623.0
665,217,1087.0,1414.0,462.06317138671875,636.0
668,218,1087.0,1434.0,464.7579040527344,636.0
671,219,1090.0,1454.0,472.6736755371094,649.0
674,220,1094.0,1468.0,474.5263366699219,649.0
677,221,1097.0,1488.0,483.8736572265625,662.0
680,222,1098.0,1498.0,492.4631652832031,676.0
683,223,1099.0,1510.0,486.9052734375,676.0
686,224,1103.0,1532.0,499.2842102050781,689.0
689,225,1106.0,1552.0,507.1158142089844,702.0
692,226,1108.0,1574.0,514.6105346679688,702.0
695,227,1108.0,1586.0,509.810546875,702.0
698,228,1110.0,1604.0,523.7894897460938,715.0
701,229,1112.0,1618.0,519.6631469726563,715.0
704,230,1114.0,1642.0,535.4105224609375,729.0
707,231,1115.0,1650.0,535.7473754882813,742.0
710,232,1116.0,1668.0,537.3473510742188,742.0
713,233,1385.0,1688.0,545.9368286132813,755.0
716,234,1444.0,1712.0,548.631591796875,755.0
719,235,1467.0,1726.0,566.6526489257813,768.0
722,236,1473.0,1742.0,567.1578979492188,768.0
725,237,1492.0,1766.0,578.7789306640625,782.0
728,238,1507.0,1780.0,579.7894897460938,795.0
731,239,1515.0,1800.0,587.45263671875,795.0
