diffStartTime,diffEndTime,RatioGestureTime,RatioDeepestRate,Device1Descent,Device1Ascent,Device1DiffDescentAscent,Device1DeepestRate,Device1Deepness0-10,Device1Deepness11-20,Device1Deepness21-30,Device1Deepness31-40,Device1Deepness41-50,Device1Deepness51-60,Device1Deepness61-70,Device1Deepness71-80,Device1Deepness81-90,Device1Deepness91-100,Device2Descent,Device2Ascent,Device2DiffDescentAscent,Device2DeepestRate,Device2Deepness0-10,Device2Deepness11-20,Device2Deepness21-30,Device2Deepness31-40,Device2Deepness41-50,Device2Deepness51-60,Device2Deepness61-70,Device2Deepness71-80,Device2Deepness81-90,Device2Deepness91-100,gesture
440,-463,0.437032419,1.399339673,-2.85E-07,2.84E-07,-5.69E-07,35.70526123,0,0.166666667,0.333333333,0.166666667,0,0,0,0,0,0.333333333,-8.98E-08,8.86E-10,-9.07E-08,25.51579285,0,0.125,0.375,0,0,0,0,0,0.125,0.375,toTop
339,-161,0.643620813,0.6516852,-2.08E-07,2.07E-07,-4.14E-07,34.18946838,0,0.142857143,0.285714286,0.142857143,0,0,0,0,0.142857143,0.285714286,-2.06E-07,2.03E-09,-2.08E-07,52.46316528,0,0,0.222222222,0,0.222222222,0.111111111,0,0,0.111111111,0.333333333,toTop
475,-46,0.653359947,3.470149636,-2.13E-07,2.12E-07,-4.24E-07,39.15789795,0,0,0.375,0,0.125,0,0,0.125,0.125,0.25,-4.01E-08,3.97E-10,-4.05E-08,11.28421021,0.181818182,0,0.181818182,0,0.272727273,0.090909091,0,0.090909091,0,0.181818182,upTop
658,60,0.627182045,0.912350638,-9.96E-08,9.91E-08,-1.99E-07,19.28421021,0,0.111111111,0.333333333,0.111111111,0,0,0.111111111,0,0.111111111,0.222222222,-6.89E-08,6.81E-10,-6.96E-08,21.13684082,0.166666667,0.083333333,0.083333333,0.166666667,0.083333333,0.25,0,0,0,0.166666667,upTop
752,-56,0.527761543,4.062856055,-3.38E-07,3.37E-07,-6.75E-07,59.87368774,0,0,0,0.333333333,0,0.166666667,0.166666667,0,0,0.333333333,-4.41E-08,4.37E-10,-4.46E-08,14.73684692,0.166666667,0.083333333,0.083333333,0,0.25,0.166666667,0.083333333,0,0,0.166666667,upTop
742,-158,0.501108647,4.452831221,-2.20E-07,2.19E-07,-4.39E-07,39.74737549,0,0,0.428571429,0,0,0.142857143,0,0.142857143,0,0.285714286,-2.48E-08,2.46E-10,-2.51E-08,8.926315308,0.166666667,0.083333333,0.083333333,0.083333333,0.25,0.083333333,0,0,0,0.25,upTop
846,44,0.555432373,5.465112016,-1.93E-07,1.92E-07,-3.86E-07,39.57894897,0,0,0.428571429,0,0,0,0,0.285714286,0,0.285714286,-1.97E-08,1.95E-10,-1.99E-08,7.242111206,0.230769231,0.076923077,0.076923077,0,0.230769231,0.076923077,0.153846154,0,0,0.153846154,upTop
744,40,0.561370717,2.012245296,-2.21E-07,2.20E-07,-4.41E-07,41.51579285,0,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0,0,0.333333333,-6.19E-08,6.13E-10,-6.25E-08,20.63157654,0.083333333,0.25,0.083333333,0.083333333,0.166666667,0.083333333,0.083333333,0,0,0.166666667,upTop
842,-162,0.499501496,1.87640454,-1.98E-07,1.97E-07,-3.96E-07,42.18946838,0,0,0.285714286,0,0,0.285714286,0,0.142857143,0,0.285714286,-5.30E-08,5.25E-10,-5.36E-08,22.48420715,0.076923077,0.307692308,0.153846154,0.076923077,0.076923077,0,0,0.076923077,0.076923077,0.153846154,upTop
741,-59,0.556786704,4.940001667,-1.91E-07,1.90E-07,-3.81E-07,41.6000061,0,0,0.285714286,0,0,0.285714286,0,0.142857143,0,0.285714286,-2.16E-08,2.14E-10,-2.18E-08,8.421051025,0.166666667,0.166666667,0.333333333,0,0,0.166666667,0,0,0,0.166666667,upTop
