,1,,,2
241417,245.3052521,,238649,190.3157959
241517,240.5894623,,238750,190.9052734
241718,241.0947418,,238950,187.621048
241818,86.73684692,,239050,187.957901
242019,51.62104797,,239251,187.4526367
242219,48.33683777,,239351,188.2105408
242319,44.12631226,,239451,187.2000122
242520,42.18946838,,239652,185.6000061
242620,42.44210815,,239752,186.9473724
242820,43.70526123,,239714,downTop3
242921,159.4105225,,239952,186.2736816
243121,236.0421143,,240052,187.1157837
243222,242.9473572,,240253,187.8736877
243422,243.115799,,240353,188.3789368
243523,242.1894684,,240553,188.9684143
243724,239.1578979,,240653,190.2315826
244025,237.9789429,,240754,189.8105316
244131,downTop4,,240954,190.5684357
244325,237.8947296,,241054,190.2315826
244425,236.6315765,,241254,191.3263092
244626,237.8105316,,241355,190.8210602
244726,239.2420959,,241555,190.5684357
244926,242.6105194,,241655,190.7368317
245027,242.9473572,,241755,189.8947449
245227,244.6315613,,241956,189.7263031
245327,244.9684143,,242056,180.1263275
245528,246.1473846,,242256,43.36842346
245628,245.8105316,,242357,14.3157959
245828,244.5473633,,242557,5.13684082
245929,240.4210663,,242657,7.494735718
246129,236.0421143,,242858,70.40000916
246230,98.52632141,,242958,184.9263153
246430,52.21052551,,243059,189.2210693
246532,48.25263977,,243259,189.8947449
246733,43.78947449,,243359,187.621048
246835,42.02105713,,243560,188.2105408
247136,42.77894592,,243660,188.3789368
247338,165.3894806,,243760,187.2842102
247467,236.884201,,244062,188.5473785
247640,244.378952,,244131,downTop4
247758,244.042099,,244262,187.1157837
247941,242.7789612,,244362,187.0315704
248085,240.5894623,,244563,187.621048
248244,238.6526337,,244666,187.1157837
248345,238.1473694,,244863,188.5473785
248545,downTop5,,244963,188.4631653
248545,238.4000092,,245064,189.0526276
248646,237.5578918,,245264,191.4105225
248846,236.884201,,245364,190.7368317
248957,239.4105377,,245565,191.0736694
249147,240.9263,,245665,190.5684357
249253,243.115799,,245866,191.2421112
249448,242.2736664,,245966,189.7263031
249548,245.1368561,,246077,190.0631409
249749,245.7263184,,246266,191.1578979
249849,246.0631561,,246377,189.9789429
250049,246.9894562,,246567,176.9263
250150,246.1473846,,246674,38.14736938
250350,241.9368286,,246868,14.06315613
250450,239.4105377,,246983,7.073684692
250651,232.7578888,,247168,10.69473267
250751,83.28421021,,247287,157.0526276
250951,54.48420715,,247369,189.0526276
251152,48.75790405,,247569,190.9052734
251267,45.05262756,,247686,188.042099
251453,42.61053467,,247869,188.1263123
251555,41.09474182,,247994,187.53685
251753,42.27368164,,248170,186.7789459
251954,218.6947327,,248288,185.6000061
252155,240.5052643,,248371,185.6842041
252265,242.3578949,,248545,downTop5
252455,241.7684326,,248609,186.3578796
252568,239.4947357,,248673,186.2736816
252756,239.6631622,,248873,185.6000061
252957,downTop6,,248998,187.2842102
252957,238.7368469,,249176,189.2210693
253058,239.3263092,,249282,189.6421051
253258,237.8105316,,249402,189.8105316
253459,238.5684052,,249579,190.9052734
253659,242.1894684,,249704,190.8210602
253759,242.6947327,,249881,190.4842072
253960,244.2105255,,249982,190.9052734
254060,246.9052582,,250183,189.7263031
254260,247.494751,,250284,190.2315826
254361,246.6526184,,250399,190.9052734
254561,246.7368469,,250585,189.9789429
254661,245.5578918,,250700,190.0631409
254862,242.9473572,,250888,188.9684143
254962,240.4210663,,250989,185.0947418
255162,154.7789459,,251189,106.6947479
255263,63.07368469,,251317,23.74737549
255463,51.70526123,,251493,6.652633667
255563,47.41052246,,251605,1.768417358
255764,43.957901,,251708,22.3157959
255864,42.86315918,,251896,170.7789459
256065,43.03158569,,252010,184.9263153
256165,70.56842041,,252197,188.7157745
256366,219.3684082,,252298,187.4526367
256466,241.2631531,,252499,187.0315704
256666,243.8736877,,252622,186.8631744
256767,243.115799,,252701,186.3578796
