,1,,,2
79035,231.6631622,,74280,201.0947418
79137,241.0947418,,74380,183.0736847
79336,242.6105194,,74480,183.663147
79436,245.2210541,,74692,184.2526245
79637,245.4736938,,74781,183.4105225
79737,244.8842163,,74982,182.1473846
80037,245.3052521,,75105,181.8947296
80238,244.9684143,,75282,180.7157898
80338,243.8736877,,75404,178.5263214
80538,245.1368561,,75483,179.7894897
80638,245.3052521,,75683,181.1368561
80839,244.9684143,,75791,181.2210541
80939,245.8105316,,75984,182.0631561
80894,upRight5,,76285,181.5578918
81241,245.3052521,,76395,upRight4
81441,244.8842163,,76395,181.1368561
81541,245.1368561,,76490,179.5368347
81742,247.3263092,,76686,180.2105255
81842,248.2526245,,76793,179.4526367
82043,248.8421173,,76986,180.4631653
82343,248.3368378,,77095,179.8736877
82445,247.9999847,,77287,181.3052521
82649,248.5052795,,77397,181.5578918
82747,248.2526245,,77506,182.2315826
82948,247.663147,,77687,183.1578979
83049,240.5052643,,77888,183.494751
83250,145.0105286,,78088,181.0526276
83352,175.4947357,,78188,141.2210541
83553,248.0842133,,78389,10.52632141
83659,242.5263214,,78489,6.147369385
83855,243.621048,,78789,177.2631531
83957,247.7473755,,78890,183.0736847
84161,246.3157806,,79090,182.1473846
84259,245.1368561,,79190,182.9894562
84460,243.5368347,,79391,182.3157806
84562,244.8842163,,79491,181.2210541
84762,244.7157898,,79692,180.9684143
84964,244.8000031,,79792,179.9578857
85066,244.9684143,,79892,181.2210541
85266,245.0526276,,80093,182.0631561
85367,244.7157898,,80193,180.8842163
85403,upRight6,,80394,181.8947296
85567,245.3894806,,80494,182.2315826
85676,245.0526276,,80694,182.0631561
85868,244.8842163,,80894,181.4736938
85970,244.8000031,,80894,upRight5
86177,245.5578918,,81095,181.3052521
86270,245.8947296,,81195,180.8000031
86972,244,,81395,180.1263275
86972,26.02105713,,81496,179.9578857
87183,247.578949,,81696,180.8842163
87280,249.0947418,,81796,180.378952
87474,247.578949,,81896,182.9894562
87575,248.1684265,,82097,183.8315887
87775,247.8315887,,82197,182.3157806
87899,242.1894684,,82397,184.1684265
88076,148.6315765,,82497,181.3894806
88221,157.1368408,,82698,104.2526398
88376,241.6842041,,82798,10.18946838
88511,242.0210571,,82998,10.69473267
88677,241.5157928,,83099,130.0210571
88802,246.0631561,,83199,176.5052643
88978,244.9684143,,83399,181.2210541
89116,244.6315613,,83499,182.3999939
89379,245.3052521,,83700,183.9999847
89580,245.5578918,,83800,182.9894562
89680,243.9578857,,84001,183.8315887
89881,243.5368347,,84101,179.9578857
89982,244.8000031,,84201,178.6105194
90214,upRight7,,84402,177.8526306
90182,244.8842163,,84502,180.8000031
90295,244.8000031,,84702,181.8105316
90483,244.042099,,84802,182.1473846
90585,245.3052521,,85003,180.8000031
